;dia;hora inici;hora final;resultat
0;2001-04-15;06:20:30.000;06:41:30.000;FALSO
1;2001-04-15;07:17:30.000;07:34:30.000;FALSO
2;2001-04-15;07:57:30.000;08:22:30.000;FALSO
3;2001-04-15;08:32:30.000;09:11:30.000;FALSO
4;2001-04-15;12:51:30.000;13:14:30.000;FALSO
5;2001-04-15;13:38:30.000;14:37:30.000;VERDADERO
6;2001-04-15;15:15:30.000;15:32:30.000;FALSO
7;2001-04-15;15:36:30.000;16:05:30.000;FALSO
8;2001-04-26;07:34:30.000;08:01:30.000;FALSO
9;2001-04-26;08:41:30.000;09:15:30.000;FALSO
10;2001-04-26;12:22:30.000;12:40:30.000;FALSO
11;2001-04-26;12:58:30.000;13:12:30.000;VERDADERO
12;2001-04-26;17:59:30.000;18:20:30.000;FALSO
13;2001-12-13;14:12:30.000;14:37:30.000;VERDADERO
14;2004-07-16;10:14:30.000;11:04:30.000;FALSO
15;2004-07-16;13:00:30.000;13:19:30.000;FALSO
16;2004-07-16;13:48:30.000;13:56:30.000;VERDADERO
17;2004-07-16;15:41:30.000;15:51:30.000;FALSO
18;2004-07-20;04:56:30.000;05:09:30.000;FALSO
19;2004-07-20;06:28:30.000;06:43:30.000;FALSO
20;2004-07-20;09:36:30.000;10:00:30.000;FALSO
21;2004-07-20;12:20:30.000;12:31:30.000;VERDADERO
22;2004-07-20;12:35:30.000;13:20:30.000;FALSO
23;2004-07-20;13:46:30.000;14:07:30.000;FALSO
24;2004-07-20;15:52:30.000;16:08:30.000;FALSO
25;2004-07-20;18:22:30.000;18:47:30.000;FALSO
26;2004-08-14;07:52:30.000;08:05:30.000;FALSO
27;2004-08-14;09:44:30.000;10:18:30.000;FALSO
28;2004-08-14;10:37:30.000;10:55:30.000;FALSO
29;2004-08-14;11:12:30.000;12:07:30.000;FALSO
30;2004-08-14;16:36:30.000;17:06:30.000;FALSO
31;2004-08-15;12:34:30.000;12:42:30.000;VERDADERO
32;2004-08-15;13:29:30.000;13:47:30.000;FALSO
33;2005-05-27;08:04:30.000;08:33:30.000;FALSO
34;2005-05-27;12:22:30.000;12:33:30.000;VERDADERO
35;2005-09-09;07:45:30.000;07:59:30.000;FALSO
